Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,The Rescue Mission,22,1,1,outgoing,200000
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,United Nations Children's Fund,40,1,1,outgoing,2183593
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,United Nations High Commissioner for Refugees,40,1,1,outgoing,649990
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,Universal Network for Knowledge and Empowerment Agency,22,1,1,outgoing,101727
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,Voice of the Peace,22,1,1,outgoing,152801
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,World Food Programme,40,1,1,outgoing,3399424
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,xm-dac-928,World Health Organization,40,1,1,outgoing,1917090
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,World Relief,21,1,1,outgoing,1666168
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,World Vision International,21,1,1,outgoing,3258316
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,22,,,,,Youth Empowerment and Development Aid,22,1,1,outgoing,150000
xm-dac-928,World Health Organization,40,,,,gb-chc-1076822,SAVE THE CHILDREN FUND - SOUTH SUDAN,21,1,1,outgoing,619200
